time	abs_y-present_position	abs_y-goal_position	abs_x-present_position	abs_x-goal_position	abs_z-present_position	abs_z-goal_position	bust_y-present_position	bust_y-goal_position	bust_x-present_position	bust_x-goal_position	head_z-present_position	head_z-goal_position	head_y-present_position	head_y-goal_position	l_shoulder_y-present_position	l_shoulder_y-goal_position	l_shoulder_x-present_position	l_shoulder_x-goal_position	l_arm_z-present_position	l_arm_z-goal_position	l_elbow_y-present_position	l_elbow_y-goal_position	r_shoulder_y-present_position	r_shoulder_y-goal_position	r_shoulder_x-present_position	r_shoulder_x-goal_position	r_arm_z-present_position	r_arm_z-goal_position	r_elbow_y-present_position	r_elbow_y-goal_position	l_hip_x-present_position	l_hip_x-goal_position	l_hip_z-present_position	l_hip_z-goal_position	l_hip_y-present_position	l_hip_y-goal_position	l_knee_y-present_position	l_knee_y-goal_position	l_ankle_y-present_position	l_ankle_y-goal_position	r_hip_x-present_position	r_hip_x-goal_position	r_hip_z-present_position	r_hip_z-goal_position	r_hip_y-present_position	r_hip_y-goal_position	r_knee_y-present_position	r_knee_y-goal_position	r_ankle_y-present_position	r_ankle_y-goal_position
1404228849.76000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.44000	        0.00000	       -0.34000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.89000	        2.00000	        3.65000	        4.00000	       -0.22000	        0.00000	       -2.11000	       -4.00000	      -10.15000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	       -0.04000	        0.00000	       -3.78000	       -4.00000
1404228849.78000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.89000	        2.00000	        3.65000	        4.00000	       -0.22000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -3.78000	       -4.00000
1404228849.80000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.44000	        0.00000	        0.24000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.89000	        2.00000	        3.65000	        4.00000	       -0.31000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -3.78000	       -4.00000
1404228849.82000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.89000	        2.00000	        3.65000	        4.00000	       -0.22000	        0.00000	       -2.11000	       -4.00000	      -10.15000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -3.78000	       -4.00000
1404228849.84000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.99000	       10.00000	       10.04000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.89000	        2.00000	        3.65000	        4.00000	       -0.22000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	       -0.04000	        0.00000	       -3.78000	       -4.00000
1404228849.86000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.44000	        0.00000	       -0.34000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.89000	        2.00000	        3.65000	        4.00000	       -0.22000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	       -0.04000	        0.00000	       -3.78000	       -4.00000
1404228849.88000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.44000	        0.00000	       -0.34000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.89000	        2.00000	        3.65000	        4.00000	       -0.31000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	       -0.04000	        0.00000	       -3.78000	       -4.00000
1404228849.90000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.80000	        2.00000	        3.65000	        4.00000	       -0.22000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -3.78000	       -4.00000
1404228849.92000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.89000	        2.00000	        3.65000	        4.00000	       -0.22000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	       -0.04000	        0.00000	       -3.78000	       -4.00000
1404228849.94000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.44000	        0.00000	       -0.05000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.89000	        2.00000	        3.65000	        4.00000	       -0.22000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	       -0.04000	        0.00000	       -3.78000	       -4.00000
1404228849.96000	       -0.40000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.89000	        2.00000	        3.65000	        4.00000	       -0.31000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -3.78000	       -4.00000
1404228849.98000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.44000	        0.00000	       -0.34000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.89000	        2.00000	        3.65000	        4.00000	       -0.22000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	       -0.04000	        0.00000	       -3.78000	       -4.00000
1404228850.00000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.89000	        2.00000	        3.65000	        4.00000	       -0.31000	        0.00000	       -2.02000	       -4.00000	      -10.07000	      -10.00000	       -1.80000	       -2.00000	        3.91000	        4.00000	       -0.04000	        0.00000	       -3.78000	       -4.00000
1404228850.02000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.44000	        0.00000	       -0.05000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.89000	        2.00000	        3.65000	        4.00000	       -0.22000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -3.78000	       -4.00000
1404228850.04000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.13000	        0.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.89000	        2.00000	        3.65000	        4.00000	       -0.22000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -3.78000	       -4.00000
1404228850.06000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.89000	        2.00000	        3.65000	        4.00000	       -0.22000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	       -0.04000	        0.00000	       -3.78000	       -4.00000
1404228850.08000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.82000	       10.00000	        1.89000	        2.00000	        3.65000	        4.00000	       -0.22000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	       -0.04000	        0.00000	       -3.78000	       -4.00000
1404228850.10000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.82000	       10.00000	        1.89000	        2.00000	        3.65000	        4.00000	       -0.22000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	       -0.04000	        0.00000	       -3.78000	       -4.00000
1404228850.12000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.13000	        0.00000	       -0.04000	        0.00000	       -0.13000	        0.00000	       -0.44000	        0.00000	       -0.34000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.89000	        2.00000	        3.74000	        4.00000	       -0.22000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -3.78000	       -4.00000
1404228850.14000	       -0.40000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.89000	        2.00000	        3.65000	        4.00000	       -0.22000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -3.78000	       -4.00000
1404228850.16000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.89000	        2.00000	        3.74000	        4.00000	       -0.22000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -3.78000	       -4.00000
1404228850.18000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.44000	        0.00000	       -0.05000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.82000	       10.00000	        1.89000	        2.00000	        3.74000	        4.00000	       -0.22000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.82000	        4.00000	       -0.04000	        0.00000	       -3.78000	       -4.00000
1404228850.20000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.44000	        0.00000	       -0.05000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.82000	       10.00000	        1.89000	        2.00000	        3.65000	        4.00000	       -0.22000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	       -0.04000	        0.00000	       -3.78000	       -4.00000
1404228850.22000	       -0.40000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.82000	       10.00000	        1.89000	        2.00000	        3.74000	        4.00000	       -0.31000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	       -0.04000	        0.00000	       -3.78000	       -4.00000
1404228850.24000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.44000	        0.00000	       -0.34000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.82000	       10.00000	        1.89000	        2.00000	        3.74000	        4.00000	       -0.22000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.82000	        4.00000	       -0.04000	        0.00000	       -3.78000	       -4.00000
1404228850.27000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.44000	        0.00000	        0.24000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.82000	       10.00000	        1.89000	        2.00000	        3.74000	        4.00000	       -0.22000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	       -0.04000	        0.00000	       -3.78000	       -4.00000
1404228850.29000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.13000	        0.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.82000	       10.00000	        1.89000	        2.00000	        3.74000	        4.00000	       -0.22000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -3.78000	       -4.00000
1404228850.31000	       -0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.13000	        0.00000	       -0.44000	        0.00000	       -0.05000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.13000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.82000	       10.00000	        1.89000	        2.00000	        3.74000	        4.00000	       -0.22000	        0.00000	       -2.11000	       -4.00000	      -10.07000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	       -0.04000	        0.00000	       -3.78000	       -4.00000
