time	abs_y-present_position	abs_y-goal_position	abs_x-present_position	abs_x-goal_position	abs_z-present_position	abs_z-goal_position	bust_y-present_position	bust_y-goal_position	bust_x-present_position	bust_x-goal_position	head_z-present_position	head_z-goal_position	head_y-present_position	head_y-goal_position	l_shoulder_y-present_position	l_shoulder_y-goal_position	l_shoulder_x-present_position	l_shoulder_x-goal_position	l_arm_z-present_position	l_arm_z-goal_position	l_elbow_y-present_position	l_elbow_y-goal_position	r_shoulder_y-present_position	r_shoulder_y-goal_position	r_shoulder_x-present_position	r_shoulder_x-goal_position	r_arm_z-present_position	r_arm_z-goal_position	r_elbow_y-present_position	r_elbow_y-goal_position	l_hip_x-present_position	l_hip_x-goal_position	l_hip_z-present_position	l_hip_z-goal_position	l_hip_y-present_position	l_hip_y-goal_position	l_knee_y-present_position	l_knee_y-goal_position	l_ankle_y-present_position	l_ankle_y-goal_position	r_hip_x-present_position	r_hip_x-goal_position	r_hip_z-present_position	r_hip_z-goal_position	r_hip_y-present_position	r_hip_y-goal_position	r_knee_y-present_position	r_knee_y-goal_position	r_ankle_y-present_position	r_ankle_y-goal_position
1404399530.97000	        0.75000	        0.00000	        2.42000	        2.00000	       -0.04000	        0.04000	       -0.04000	       -0.04000	       -0.22000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.56000	       10.00000	        2.07000	        2.00000	        4.26000	        4.00000	       -0.04000	        0.66000	       -3.78000	       -3.00000	       -9.36000	      -10.00000	       -2.24000	       -2.00000	        3.56000	        4.00000	        0.84000	       -0.04000	       -2.99000	       -3.00000
1404399530.99000	        0.75000	        0.00000	        2.42000	        2.00000	       -0.04000	        0.04000	       -0.04000	       -0.04000	       -0.22000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.98000	        2.00000	        4.26000	        4.00000	       -0.04000	        0.66000	       -3.78000	       -3.00000	       -9.36000	      -10.00000	       -2.24000	       -2.00000	        3.56000	        4.00000	        0.84000	       -0.04000	       -2.99000	       -3.00000
1404399531.01000	        0.75000	        0.00000	        2.42000	        2.00000	       -0.04000	        0.04000	        0.04000	       -0.04000	       -0.22000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        2.07000	        2.00000	        4.18000	        4.00000	       -0.04000	        0.66000	       -3.78000	       -3.00000	       -9.36000	      -10.00000	       -2.15000	       -2.00000	        3.56000	        4.00000	        0.84000	       -0.04000	       -2.99000	       -3.00000
1404399531.03000	        0.75000	        0.00000	        2.42000	        2.00000	       -0.04000	        0.04000	        0.04000	       -0.04000	       -0.22000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.98000	        2.00000	        4.18000	        4.00000	       -0.04000	        0.66000	       -3.78000	       -3.00000	       -9.36000	      -10.00000	       -2.24000	       -2.00000	        3.56000	        4.00000	        0.84000	       -0.04000	       -2.99000	       -3.00000
1404399531.05000	        0.75000	        0.00000	        2.33000	        2.00000	        0.04000	        0.04000	       -0.04000	       -0.04000	       -0.22000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.65000	       10.00000	        1.98000	        2.00000	        4.18000	        4.00000	       -0.04000	        0.66000	       -3.69000	       -3.00000	       -9.36000	      -10.00000	       -2.24000	       -2.00000	        3.56000	        4.00000	        0.84000	       -0.04000	       -2.99000	       -3.00000
1404399531.07000	        0.75000	        0.00000	        2.42000	        2.00000	       -0.04000	        0.04000	        0.04000	       -0.04000	       -0.22000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.98000	        2.00000	        4.18000	        4.00000	       -0.04000	        0.66000	       -3.78000	       -3.00000	       -9.45000	      -10.00000	       -2.24000	       -2.00000	        3.56000	        4.00000	        0.84000	       -0.04000	       -2.99000	       -3.00000
1404399531.09000	        0.66000	        0.00000	        2.42000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	       -0.22000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	        0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.98000	        2.00000	        4.18000	        4.00000	       -0.04000	        0.66000	       -3.78000	       -3.00000	       -9.45000	      -10.00000	       -2.24000	       -2.00000	        3.56000	        4.00000	        0.84000	       -0.04000	       -2.99000	       -3.00000
1404399531.11000	        0.66000	        0.00000	        2.42000	        2.00000	       -0.04000	        0.04000	        0.04000	       -0.04000	       -0.22000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.89000	        2.00000	        4.18000	        4.00000	       -0.04000	        0.66000	       -3.78000	       -3.00000	       -9.45000	      -10.00000	       -2.33000	       -2.00000	        3.56000	        4.00000	        0.84000	       -0.04000	       -2.90000	       -3.00000
1404399531.13000	        0.66000	        0.00000	        2.42000	        2.00000	        0.04000	        0.04000	       -0.04000	       -0.04000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.89000	        2.00000	        4.18000	        4.00000	       -0.04000	        0.66000	       -3.69000	       -3.00000	       -9.45000	      -10.00000	       -2.33000	       -2.00000	        3.65000	        4.00000	        0.84000	       -0.04000	       -2.90000	       -3.00000
1404399531.15000	        0.66000	        0.00000	        2.42000	        2.00000	        0.04000	        0.04000	       -0.04000	       -0.04000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.89000	        2.00000	        4.18000	        4.00000	       -0.04000	        0.66000	       -3.69000	       -3.00000	       -9.45000	      -10.00000	       -2.33000	       -2.00000	        3.65000	        4.00000	        0.84000	       -0.04000	       -2.99000	       -3.00000
1404399531.17000	        0.66000	        0.00000	        2.33000	        2.00000	        0.04000	        0.04000	       -0.04000	       -0.04000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	        0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.89000	        2.00000	        4.18000	        4.00000	       -0.04000	        0.66000	       -3.78000	       -3.00000	       -9.45000	      -10.00000	       -2.33000	       -2.00000	        3.65000	        4.00000	        0.75000	       -0.04000	       -2.90000	       -3.00000
1404399531.19000	        0.66000	        0.00000	        2.33000	        2.00000	        0.04000	        0.04000	       -0.04000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.89000	        2.00000	        4.18000	        4.00000	       -0.04000	        0.66000	       -3.78000	       -3.00000	       -9.45000	      -10.00000	       -2.33000	       -2.00000	        3.65000	        4.00000	        0.75000	       -0.04000	       -2.99000	       -3.00000
1404399531.21000	        0.66000	        0.00000	        2.33000	        2.00000	       -0.04000	        0.04000	       -0.04000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.89000	        2.00000	        4.18000	        4.00000	       -0.04000	        0.66000	       -3.78000	       -3.00000	       -9.45000	      -10.00000	       -2.33000	       -2.00000	        3.65000	        4.00000	        0.75000	       -0.04000	       -2.90000	       -3.00000
1404399531.23000	        0.57000	        0.00000	        2.33000	        2.00000	        0.04000	        0.04000	       -0.04000	       -0.04000	        0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.89000	        2.00000	        4.18000	        4.00000	       -0.04000	        0.66000	       -3.69000	       -3.00000	       -9.45000	      -10.00000	       -2.33000	       -2.00000	        3.65000	        4.00000	        0.75000	       -0.04000	       -2.99000	       -3.00000
1404399531.25000	        0.57000	        0.00000	        2.33000	        2.00000	        0.04000	        0.04000	       -0.04000	       -0.04000	        0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.89000	        2.00000	        4.18000	        4.00000	       -0.04000	        0.66000	       -3.69000	       -3.00000	       -9.54000	      -10.00000	       -2.33000	       -2.00000	        3.65000	        4.00000	        0.75000	       -0.04000	       -2.99000	       -3.00000
1404399531.27000	        0.57000	        0.00000	        2.33000	        2.00000	        0.04000	        0.04000	       -0.04000	       -0.04000	        0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.89000	        2.00000	        4.09000	        4.00000	       -0.04000	        0.66000	       -3.78000	       -3.00000	       -9.71000	      -10.00000	       -2.33000	       -2.00000	        3.65000	        4.00000	        0.66000	       -0.04000	       -2.90000	       -3.00000
1404399531.29000	        0.57000	        0.00000	        2.33000	        2.00000	        0.04000	        0.04000	       -0.04000	       -0.04000	        0.13000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	        0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.89000	        2.00000	        4.09000	        4.00000	       -0.04000	        0.66000	       -3.69000	       -3.00000	       -9.71000	      -10.00000	       -2.33000	       -2.00000	        3.74000	        4.00000	        0.66000	       -0.04000	       -2.99000	       -3.00000
1404399531.31000	        0.57000	        0.00000	        2.33000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	        0.22000	        0.00000	        0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.89000	        2.00000	        4.09000	        4.00000	       -0.04000	        0.66000	       -3.69000	       -3.00000	       -9.71000	      -10.00000	       -2.33000	       -2.00000	        3.65000	        4.00000	        0.66000	       -0.04000	       -2.90000	       -3.00000
1404399531.33000	        0.57000	        0.00000	        2.33000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	        0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	        0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.80000	        2.00000	        4.09000	        4.00000	       -0.04000	        0.66000	       -3.69000	       -3.00000	       -9.71000	      -10.00000	       -2.33000	       -2.00000	        3.74000	        4.00000	        0.66000	       -0.04000	       -2.99000	       -3.00000
1404399531.35000	        0.57000	        0.00000	        2.33000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	        0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	        0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.80000	        2.00000	        4.09000	        4.00000	       -0.13000	        0.66000	       -3.78000	       -3.00000	       -9.71000	      -10.00000	       -2.42000	       -2.00000	        3.74000	        4.00000	        0.57000	       -0.04000	       -2.99000	       -3.00000
1404399531.37000	        0.48000	        0.00000	        2.33000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	        0.22000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	        0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.80000	        2.00000	        4.09000	        4.00000	       -0.04000	        0.66000	       -3.69000	       -3.00000	       -9.71000	      -10.00000	       -2.33000	       -2.00000	        3.74000	        4.00000	        0.57000	       -0.04000	       -2.90000	       -3.00000
1404399531.39000	        0.48000	        0.00000	        2.33000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	        0.22000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.80000	        2.00000	        4.09000	        4.00000	       -0.04000	        0.66000	       -3.69000	       -3.00000	       -9.71000	      -10.00000	       -2.33000	       -2.00000	        3.65000	        4.00000	        0.66000	       -0.04000	       -2.90000	       -3.00000
1404399531.42000	        0.48000	        0.00000	        2.33000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	        0.22000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.80000	        2.00000	        4.09000	        4.00000	       -0.04000	        0.66000	       -3.69000	       -3.00000	       -9.71000	      -10.00000	       -2.33000	       -2.00000	        3.74000	        4.00000	        0.57000	       -0.04000	       -2.99000	       -3.00000
1404399531.44000	        0.48000	        0.00000	        2.24000	        2.00000	        0.04000	        0.04000	       -0.04000	       -0.04000	        0.22000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.89000	        2.00000	        4.09000	        4.00000	       -0.04000	        0.66000	       -3.69000	       -3.00000	       -9.71000	      -10.00000	       -2.33000	       -2.00000	        3.74000	        4.00000	        0.57000	       -0.04000	       -2.99000	       -3.00000
1404399531.46000	        0.48000	        0.00000	        2.24000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	        0.22000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	        0.04000	       -0.04000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.80000	        2.00000	        4.09000	        4.00000	       -0.04000	        0.66000	       -3.69000	       -3.00000	       -9.71000	      -10.00000	       -2.33000	       -2.00000	        3.74000	        4.00000	        0.57000	       -0.04000	       -2.99000	       -3.00000
1404399531.48000	        0.48000	        0.00000	        2.24000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	        0.22000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	        0.04000	       -0.04000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.89000	        2.00000	        4.09000	        4.00000	       -0.04000	        0.66000	       -3.69000	       -3.00000	       -9.71000	      -10.00000	       -2.33000	       -2.00000	        3.74000	        4.00000	        0.66000	       -0.04000	       -2.90000	       -3.00000
1404399531.50000	        0.48000	        0.00000	        2.24000	        2.00000	        0.04000	        0.04000	       -0.04000	       -0.04000	        0.22000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.80000	        2.00000	        4.09000	        4.00000	       -0.04000	        0.66000	       -3.69000	       -3.00000	       -9.71000	      -10.00000	       -2.33000	       -2.00000	        3.74000	        4.00000	        0.57000	       -0.04000	       -2.99000	       -3.00000
1404399531.52000	        0.40000	        0.00000	        2.24000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	        0.22000	        0.00000	       -0.15000	        0.00000	        0.24000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.89000	        2.00000	        4.18000	        4.00000	       -0.04000	        0.66000	       -3.69000	       -3.00000	       -9.71000	      -10.00000	       -2.33000	       -2.00000	        3.82000	        4.00000	        0.57000	       -0.04000	       -2.99000	       -3.00000
