time	abs_y-present_position	abs_y-goal_position	abs_x-present_position	abs_x-goal_position	abs_z-present_position	abs_z-goal_position	bust_y-present_position	bust_y-goal_position	bust_x-present_position	bust_x-goal_position	head_z-present_position	head_z-goal_position	head_y-present_position	head_y-goal_position	l_shoulder_y-present_position	l_shoulder_y-goal_position	l_shoulder_x-present_position	l_shoulder_x-goal_position	l_arm_z-present_position	l_arm_z-goal_position	l_elbow_y-present_position	l_elbow_y-goal_position	r_shoulder_y-present_position	r_shoulder_y-goal_position	r_shoulder_x-present_position	r_shoulder_x-goal_position	r_arm_z-present_position	r_arm_z-goal_position	r_elbow_y-present_position	r_elbow_y-goal_position	l_hip_x-present_position	l_hip_x-goal_position	l_hip_z-present_position	l_hip_z-goal_position	l_hip_y-present_position	l_hip_y-goal_position	l_knee_y-present_position	l_knee_y-goal_position	l_ankle_y-present_position	l_ankle_y-goal_position	r_hip_x-present_position	r_hip_x-goal_position	r_hip_z-present_position	r_hip_z-goal_position	r_hip_y-present_position	r_hip_y-goal_position	r_knee_y-present_position	r_knee_y-goal_position	r_ankle_y-present_position	r_ankle_y-goal_position
1404399605.64000	       -0.40000	        0.00000	        2.24000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.56000	       10.00000	        2.07000	        2.00000	        3.82000	        4.00000	        0.04000	        1.80000	       -2.46000	       -3.00000	       -9.27000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.48000	       -0.04000	       -4.22000	       -3.00000
1404399605.66000	       -0.31000	        0.00000	        2.24000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.56000	       10.00000	        1.98000	        2.00000	        3.82000	        4.00000	        0.04000	        1.80000	       -2.55000	       -3.00000	       -9.27000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.48000	       -0.04000	       -4.22000	       -3.00000
1404399605.68000	       -0.40000	        0.00000	        2.24000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.56000	       10.00000	        2.07000	        2.00000	        3.82000	        4.00000	        0.04000	        1.80000	       -2.55000	       -3.00000	       -9.19000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.48000	       -0.04000	       -4.22000	       -3.00000
1404399605.70000	       -0.31000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	        0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.56000	       10.00000	        1.98000	        2.00000	        3.82000	        4.00000	        0.04000	        1.80000	       -2.55000	       -3.00000	       -9.27000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.57000	       -0.04000	       -4.22000	       -3.00000
1404399605.72000	       -0.31000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.56000	       10.00000	        2.07000	        2.00000	        3.82000	        4.00000	        0.04000	        1.80000	       -2.55000	       -3.00000	       -9.27000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	        0.57000	       -0.04000	       -4.22000	       -3.00000
1404399605.74000	       -0.40000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.56000	       10.00000	        1.98000	        2.00000	        3.82000	        4.00000	        0.04000	        1.80000	       -2.55000	       -3.00000	       -9.19000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	        0.57000	       -0.04000	       -4.22000	       -3.00000
1404399605.76000	       -0.31000	        0.00000	        2.24000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.56000	       10.00000	        1.98000	        2.00000	        3.91000	        4.00000	        0.04000	        1.80000	       -2.55000	       -3.00000	       -9.19000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.48000	       -0.04000	       -4.22000	       -3.00000
1404399605.78000	       -0.40000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        2.07000	        2.00000	        3.91000	        4.00000	        0.04000	        1.80000	       -2.64000	       -3.00000	       -9.27000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	        0.57000	       -0.04000	       -4.22000	       -3.00000
1404399605.80000	       -0.31000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        2.07000	        2.00000	        3.91000	        4.00000	        0.04000	        1.80000	       -2.64000	       -3.00000	       -9.19000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.57000	       -0.04000	       -4.22000	       -3.00000
1404399605.82000	       -0.31000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.98000	        2.00000	        3.91000	        4.00000	        0.04000	        1.80000	       -2.64000	       -3.00000	       -9.19000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	        0.48000	       -0.04000	       -4.22000	       -3.00000
1404399605.84000	       -0.31000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.98000	        2.00000	        3.91000	        4.00000	        0.04000	        1.80000	       -2.55000	       -3.00000	       -9.27000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.48000	       -0.04000	       -4.22000	       -3.00000
1404399605.86000	       -0.31000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.98000	        2.00000	        3.82000	        4.00000	        0.04000	        1.80000	       -2.64000	       -3.00000	       -9.19000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	        0.48000	       -0.04000	       -4.22000	       -3.00000
1404399605.88000	       -0.40000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.98000	        2.00000	        3.82000	        4.00000	        0.04000	        1.80000	       -2.64000	       -3.00000	       -9.19000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	        0.48000	       -0.04000	       -4.22000	       -3.00000
1404399605.90000	       -0.31000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        2.07000	        2.00000	        3.82000	        4.00000	        0.04000	        1.80000	       -2.64000	       -3.00000	       -9.19000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.48000	       -0.04000	       -4.22000	       -3.00000
1404399605.93000	       -0.40000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.98000	        2.00000	        3.91000	        4.00000	        0.04000	        1.80000	       -2.64000	       -3.00000	       -9.27000	      -10.00000	       -1.98000	       -2.00000	        3.82000	        4.00000	        0.48000	       -0.04000	       -4.22000	       -3.00000
1404399605.95000	       -0.31000	        0.00000	        2.07000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.98000	        2.00000	        3.82000	        4.00000	        0.04000	        1.80000	       -2.55000	       -3.00000	       -9.27000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	        0.48000	       -0.04000	       -4.22000	       -3.00000
1404399605.97000	       -0.31000	        0.00000	        2.07000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.98000	        2.00000	        3.82000	        4.00000	        0.04000	        1.80000	       -2.55000	       -3.00000	       -9.27000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.48000	       -0.04000	       -4.22000	       -3.00000
1404399605.99000	       -0.31000	        0.00000	        2.07000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.98000	        2.00000	        3.91000	        4.00000	        0.04000	        1.80000	       -2.64000	       -3.00000	       -9.27000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	        0.48000	       -0.04000	       -4.22000	       -3.00000
1404399606.02000	       -0.22000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.64000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.65000	       10.00000	        1.98000	        2.00000	        3.91000	        4.00000	        0.04000	        1.80000	       -2.55000	       -3.00000	       -9.19000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	        0.48000	       -0.04000	       -4.22000	       -3.00000
1404399606.04000	       -0.22000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.98000	        2.00000	        3.91000	        4.00000	        0.04000	        1.80000	       -2.55000	       -3.00000	       -9.19000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.48000	       -0.04000	       -4.22000	       -3.00000
1404399606.06000	       -0.22000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.98000	        2.00000	        3.82000	        4.00000	        0.04000	        1.80000	       -2.55000	       -3.00000	       -9.19000	      -10.00000	       -2.07000	       -2.00000	        3.82000	        4.00000	        0.48000	       -0.04000	       -4.22000	       -3.00000
1404399606.08000	       -0.22000	        0.00000	        2.07000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.98000	        2.00000	        3.82000	        4.00000	        0.04000	        1.80000	       -2.55000	       -3.00000	       -9.27000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	        0.48000	       -0.04000	       -4.22000	       -3.00000
1404399606.10000	       -0.22000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.98000	        2.00000	        3.82000	        4.00000	        0.04000	        1.80000	       -2.55000	       -3.00000	       -9.19000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.48000	       -0.04000	       -4.22000	       -3.00000
1404399606.12000	       -0.22000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.74000	       10.00000	        1.98000	        2.00000	        3.82000	        4.00000	        0.04000	        1.80000	       -2.55000	       -3.00000	       -9.19000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.48000	       -0.04000	       -4.13000	       -3.00000
1404399606.14000	       -0.22000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.82000	       10.00000	        1.98000	        2.00000	        3.82000	        4.00000	        0.04000	        1.80000	       -2.55000	       -3.00000	       -9.27000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.48000	       -0.04000	       -4.13000	       -3.00000
1404399606.16000	       -0.22000	        0.00000	        2.07000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.82000	       10.00000	        1.98000	        2.00000	        3.82000	        4.00000	        0.04000	        1.80000	       -2.64000	       -3.00000	       -9.27000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	        0.48000	       -0.04000	       -4.22000	       -3.00000
1404399606.18000	       -0.22000	        0.00000	        2.07000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.82000	       10.00000	        1.98000	        2.00000	        3.91000	        4.00000	        0.04000	        1.80000	       -2.55000	       -3.00000	       -9.19000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	        0.48000	       -0.04000	       -4.13000	       -3.00000
1404399606.20000	       -0.22000	        0.00000	        2.07000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	        9.82000	       10.00000	        1.98000	        2.00000	        3.82000	        4.00000	        0.04000	        1.80000	       -2.55000	       -3.00000	       -9.19000	      -10.00000	       -2.07000	       -2.00000	        3.91000	        4.00000	        0.48000	       -0.04000	       -4.13000	       -3.00000
